program_name,package_name,size,version,update_time,developer,icon_url
腾讯手机管家,com.tencent.qqpimsecure,28.2M,8.10.3,2021-03-16,腾讯科技（深圳）有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0faa43d1280484ca7ae0782f527c5f5e33f67bb87
诸葛天气,com.yitong.weather,47M,3.14,2021-03-12,上海懿瞳信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0cb0d41d5bdd94c6f99facd6e5271cd2ed75d1dc2
2345天气王,com.tianqi2345,42.39M,9.5.3,2021-03-15,上海二三四五移动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/00567c5948c184edd2855f1e2abf444f4c22c9989
荔枝新闻,com.jsbc.lznews,57.79M,7.23,2021-03-11,江苏省广播电视集团有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/01a17e40075d746da0e0e6fb73ae55a56d1e165fb
七猫免费小说,com.kmxs.reader,18.98M,5.10,2021-03-16,上海七猫文化传媒有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0095c455622cf24acaf486b640951ed5168415827
手机管家,com.botvxww.oumxc,4.67M,8.4.0,2021-03-13,厦门蚂蚁工场信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/03ccb472f3112b5b825a566e782286bd7da43876b
洪铟八字算命,net.hybz,21.1M,12.9.3,2021-03-11,广州洪铟信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0db844919f5a979f0f0bd9cc26ddc0d0bcc42a80b
手机万年历,com.growth.calfun,20.83M,3.1.1,2021-03-09,上海舫舟信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0da875863c84edc3d318ca31327aae30b4f43ecc9
讯飞配音,com.iflytek.uvoice,26.08M,2.3.10,2021-03-17,科大讯飞股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/040c7841db8b843a11570664af528f84db20c8f76
最美天气,com.icoolme.android.weather,46.76M,6.10.003.20210315,2021-03-15,西安酷美易天智能科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08260ee99ed1949268c80ef8cd53f2514c336dade
