region_program_name,program_name,type,support,size,version,update_date,package_name,appid,developer,private_policy,permission,icon_url
步步赚,步步赚钱,体育运动,手机,41.78M,3.1.8,2021-02-23,com.ddzhuan.app,966651,上海铎奕信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02b1452f29d2e62bc7d8e889bcc1ea1c7f541657d
跑步赚,步多多,体育运动,手机,42.37M,1.7.1,2021-03-09,com.qsmy.walkmonkey,879226,上海序言泽网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08f284ea246fce71c8a15b91e814482cf9142fb38
九元航空,南方航空,旅行交通,手机,74.76M,4.0.8,2021-03-15,com.csair.mbp,9024,中国南方航空股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0545964e015be4e1e1a21252b1f20b3373e234228
防盗监控-对接网络摄像头（防盗监控-对接监控摄像头）,监控摄像头,实用工具,手机,10.57M,2.2.0,2021-03-01,com.adam.SocketDemo,1323228,ADAM, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b7e1f4fb1ff14f4d21db13e8d795d1479a5e96ce
360智能摄像机,360智能摄像机,影音视听,手机,75.45M,7.3.0.0,2021-01-21,com.qihoo.camera,689383,北京视觉世界科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07592e49c6d774ce3277976f3ff6675e2e499eca3
固安圈,生活圈,聊天社交,手机,64.85M,7.94.2.210210,2021-03-06,com.shenghuoquan,883302,北京简网生活圈科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d5654b8f697689f0fdc00dd93f0655e59b40b804
快票出行,快票出行,旅行交通,手机,77.33M,3.3.5,2021-03-08,com.yijin.fastticket,509906,河北快票出行旅游服务有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ba2159ad6fa32da2f9bebe928f85251cf942b54f
探位手机定位寻人,寻踪手机定位寻人,实用工具,手机,29.27M,1.12,2020-11-26,com.cn.android.xunzong,1254176,杭州爱上租机信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/005b2545820d4db53cc392869005565571f401712
小蚁摄像机,小蚁摄像机,摄影摄像,手机,105.04M,5.3.6_20210310,2021-03-10,com.ants360.yicamera,75646,上海小蚁科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0451655d1e46f84a901f00f4e547506b677417b8e
海南航空,海南航空,旅行交通,手机,54.23M,8.6.6,2021-02-22,com.rytong.hnair,429202,海南航空控股股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07fe89442c160491909addcfdca154ea376c59a47
高铁管家,高铁管家,旅行交通,手机,102.09M,7.4.7,2021-03-11,com.gtgj.view,34009,深圳市活力天汇科技股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ca86b7865a76461d953e9d7f17a8e33296197987
客运帮,客运帮,旅行交通,手机,86.18M,9.5.4,2021-02-02,com.tieyou.bus.ark,64467,上海极途信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0281442d0be1214d0e669aa5286def05bb4435678
烘培帮,烘焙帮,居家生活,手机,19.81M,5.5.0,2021-02-21,com.hongbeibang.app,104044,佛山市烘焙帮信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0edd254e86f5243b70a885f77be4bb0e5f79e57e2
东方美食,东方美食,居家生活,手机,33.25M,3.9.5,2021-03-12,com.goojje.dfmeishi,462227,红厨帽国际广告传媒（北京）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0974a94cfd8c2486c087a28a20445fa72a000764d
有赞精选,有赞精选,时尚购物,手机,33.82M,5.7.0,2021-03-11,com.qima.mars,201624,杭州有赞科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a861429c10c8383b525af47140c042ae5140b78b
百果园,百果园,时尚购物,手机,34.05M,4.2.2.1,2021-03-04,com.pagoda.buy,227849,深圳百果园实业（集团）股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/086be096684c1477983e28db46c6eaccf2776f47e
链淘,链淘,时尚购物,手机,63.56M,1.9.48,2021-03-02,com.liantaoapp.liantao,920088,四川安鹏网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07637340cf3294762237aa21cb861dee2698ca972
醒购,醒购-特卖优惠购物,时尚购物,手机,45.25M,3.1.1,2021-02-05,com.xgbuy.xg,462643,厦门聚买网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0fe104baed8fb27804d1ce5e773b940927b419cf3
