,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
,"总计","364007","209056","0","0",
1,"首页+展示+-","118994","64128","0","0",
2,"奖品展示页+展示+-","46460","22424","0","0",
3,"奖品展示页+一发入魂+点击","23457","16479","0","0",
4,"首页+100元租号玩红包 平台账号任你选奖池+-","19943","16327","0","0",
5,"确认订单页+确认提交+点击","17462","10227","0","0",
6,"战利品库+展示+-","14687","2619","0","0",
7,"奖品展示页+奖品详情+主页大图查看","6891","2653","0","0",
8,"幸运商店+展示+-","6524","3269","0","0",
9,"首页+【限时开启】王者荣耀虎年限定皮肤等你拿奖池+-","6325","5597","0","0",
10,"抽奖结果+展示+-","6294","1031","0","0",
11,"奖品展示页+三发连抽+点击","5149","3671","0","0",
12,"首页+品类标签+手办潮玩","4529","3674","0","0",
13,"首页+品类标签+科技数码","4335","3286","0","0",
14,"抽奖结果+再来一发+-","4212","784","0","0",
15,"奖品展示页+奖品详情+全部商品小图查看","3790","912","0","0",
16,"奖品展示页+全部商品+点击","3706","2178","0","0",
17,"商品发货页+展示+-","3672","887","0","0",
18,"支付订单+一发入魂+成功支付","3497","1001","0","0",
19,"首页+【限时开启】和平精英风花雪月皮肤等你拿奖池+-","2771","2557","0","0",
20,"战利品库+已发货+-","2640","1631","0","0",
21,"首页+品类标签+周边好物","2609","2167","0","0",
22,"充值页+展示+-","2211","1896","0","0",
23,"战利品库+我要发货+点击","2202","885","0","0",
24,"奖品展示页+租号玩3元无门槛红包+切换商品小图","2193","1775","0","0",
25,"首页+500元巨额优惠券 限时货架任你上奖池+-","2188","1986","0","0",
26,"首页+品类标签+号玩优选","2050","1723","0","0",
27,"抽奖结果+不喜欢回收+-","2017","512","0","0",
28,"奖品展示页+幸运水晶  不可发货仅用于回收 幸运值满后大幅提升获得稀有概率+切换商品小图","1985","1579","0","0",
29,"奖品展示页+租号玩5元无门槛红包+切换商品小图","1735","1247","0","0",
30,"战利品库+可回收+-","1678","726","0","0",
31,"奖品展示页+租号玩20元无门槛红包+切换商品小图","1629","1148","0","0",
32,"商品发货页+虚拟商品+立即发货","1558","695","0","0",
33,"首页+iPhone 13 Pro 还是13香！奖池+-","1474","1278","0","0",
34,"奖品展示页+租号玩100元无门槛红包+切换商品小图","1422","1074","0","0",
35,"首页+【限时开启】王者荣耀 世冠系列皮肤奖池+-","1193","1117","0","0",
36,"战利品库+已回收+-","1134","813","0","0",
37,"战利品库+不喜欢回收+点击","1033","552","0","0",
38,"商品回收页+展示+-","1032","551","0","0",
39,"首页+活动规则+-","1008","895","0","0",
40,"战利品库+确认回收+-","932","480","0","0",
41,"奖品展示页+王者荣耀 战令进阶卡+切换商品小图","873","738","0","0",
42,"奖品展示页+【虎年限定】瑞焰 鲁班七号 王者荣耀皮肤+切换商品小图","864","718","0","0",
43,"首页+【人气必选】王者荣耀 圣斗士星矢系列皮肤奖池+-","846","766","0","0",
